epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.004488517064601183,1.1512893438339233,0.014499999582767487,0.0024481994533586656,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.004011672367135773
1,0.005032149143517017,1.074749231338501,0.014250000938773155,0.0035805866169048672,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.00581941118082195
2,0.005244653671979904,1.063888430595398,0.011250002309679985,0.004034327977797081,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.006519376554477575
3,0.005826524458825588,1.0436670780181885,0.014500001445412636,0.004268554226073669,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.006846836614197782
4,0.005259099882096052,1.0351427793502808,0.010000001639127731,0.004197112379023974,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.006848581475988832
5,0.005888519808650017,1.0305867195129395,0.010750002227723598,0.004466523930965263,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.007302932780336975
6,0.006505147088319063,1.0386236906051636,0.009000002406537533,0.005180558440201676,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.008429706411155067
7,0.01015934906899929,1.043151617050171,0.006500002462416887,0.00934840241601418,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.014937260982805994
8,0.011990525759756565,1.0430868864059448,0.006750002503395081,0.009890769380737489,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.015852958973478274
9,0.011917146854102612,1.0471760034561157,0.008500002324581146,0.010859246838879415,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.017359530210716397
10,0.013223394751548767,1.0450276136398315,0.0055000027641654015,0.010076210124846984,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.016148543635729592
11,0.01102343201637268,1.0502798557281494,0.01425000187009573,0.011117863575452492,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.017793937383934564
12,0.009094472974538803,1.04996919631958,0.012000001966953278,0.009307546733795123,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.014976635522393898
13,0.011334850452840328,1.0378152132034302,0.012250001542270184,0.010492772123131171,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.01682764735733764
14,0.013525114394724369,1.048317551612854,0.011750001460313797,0.007190855370717525,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.011568106766138661
15,0.012869218364357948,1.052148699760437,0.008000001311302185,0.013371365002378975,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.020905832766799356
16,0.016637258231639862,1.0450690984725952,0.008750000968575478,0.01769061335513855,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.02686445090609465
17,0.01554550975561142,1.0515738725662231,0.008999999612569809,0.011554698774371408,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.01845583391753331
18,0.015629272907972336,1.0472002029418945,0.00925000011920929,0.013903879012329345,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.021948231019593333
19,0.017728179693222046,1.0461221933364868,0.005750001408159733,0.01691688802949216,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0262783047698695
20,0.022858012467622757,1.0237340927124023,0.004250002093613148,0.030143047718232563,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.047050283353881235
21,0.050769876688718796,1.003861427307129,0.00800000224262476,0.06531322118089054,8.20536345900904e-10,0.0853126214609952,0.08072737519884671,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.08440754888654702
22,0.09097444266080856,0.9747732877731323,0.045807480812072754,0.0809870350215674,0.08702883650160134,0.10468744698193286,0.09608179039533184,0.08702883650160134,0.0013119021127080284,8.20536345900904e-10,0.11849324182394506
23,0.15095770359039307,0.9249125719070435,0.11577427387237549,0.10063202325283055,0.11187701367416457,0.11730186805403185,0.11426009393393394,0.11187701367416457,0.10822622324912566,0.10000968008390504,0.1723720764370053
24,0.24302159249782562,0.8278555274009705,0.17574246227741241,0.12317770362312834,0.12764054732877836,0.1334473760913827,0.13141177728138703,0.12764054732877836,0.12521213238706627,0.12195630949632384,0.24942007225731855
25,0.28853607177734375,0.7847768068313599,0.2077910155057907,0.10587538525623792,0.10777554074829539,0.11225286786827417,0.11109981116521447,0.10777554074829539,0.10626060328784899,0.1046210575045841,0.17197271052606702
26,0.3141025900840759,0.7539148330688477,0.22851622104644775,0.12112479651319213,0.1231004119503604,0.12817460600004393,0.12656866771557593,0.1231004119503604,0.12165286941387521,0.12025235779230226,0.21378124052701017
27,0.31888237595558167,0.7492552399635315,0.23010236024856567,0.13313734240882802,0.13569634650515935,0.14137819411302283,0.1396352229782748,0.13569634650515935,0.13371253689123885,0.13125967268959113,0.2515945433082497
28,0.3392776548862457,0.7259078621864319,0.24483837187290192,0.12563940554167058,0.12631774472015514,0.13062316305840718,0.1295231533422415,0.12631774472015514,0.12524184303545657,0.12416264313299394,0.22069058346168535
