epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_hard_postproc_delta,val_whole_dice_hard_raw,val_whole_dice_hard_raw_best_thr,val_whole_dice_hard_raw_best_thr_score,val_whole_dice_hard_raw_thr_0p30,val_whole_dice_hard_raw_thr_0p40,val_whole_dice_hard_raw_thr_0p50,val_whole_dice_hard_raw_thr_0p60,val_whole_dice_hard_raw_thr_0p70,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.0007939686765894294,1.2403337955474854,0.04375000298023224,0.0010981156866764563,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.001714232386543209
1,0.001687335199676454,1.1668649911880493,0.0494999997317791,0.00372411380022616,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.006086424559584838
2,0.0024898438714444637,1.150983452796936,0.042500000447034836,0.005057715927854493,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.008224458635629246
3,0.003763771615922451,1.127264142036438,0.04100000113248825,0.005919370265917003,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.009619244983339036
4,0.003950378857553005,1.1122841835021973,0.03974999859929085,0.005980820765732664,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.00968176809510212
5,0.004200395662337542,1.106523871421814,0.04050000011920929,0.007101120176062139,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.011452080116470673
6,0.005421604495495558,1.1123757362365723,0.039000000804662704,0.007935846054165195,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.012782770538066415
7,0.008713079616427422,1.1118701696395874,0.0377499982714653,0.015514296071820699,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.023873015740128203
8,0.013602820225059986,1.108309268951416,0.03500000014901161,0.007578825727600167,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.012388962052603624
9,0.021723655983805656,1.110477089881897,0.04118121415376663,0.027105169407298155,8.20536345900904e-10,0.3,0.0012908653378003987,0.0,8.20536345900904e-10,0.3,0.008036342585725375,0.008036342585725375,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0012908653378003987,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.056141933869273526
10,0.08069520443677902,1.0285300016403198,0.06168077141046524,0.09911310417593232,0.07382409302056131,0.3,0.08714427684518249,-0.04342866996353109,0.1172527629840924,0.4,0.11961831058731,0.11729652342403037,0.11961831058731,0.1172527629840924,0.11313518784921545,0.1049216699131278,0.08714427684518249,0.08268694958082652,0.07382409302056131,0.06400459790879774,0.052326340831436675,0.15958555895247648
11,0.1122598722577095,0.9899917244911194,0.09202291816473007,0.0756149923654562,0.04271883036823993,0.3,0.05209753526681134,-0.03350956815972438,0.07622839852796431,0.3,0.08899697195792017,0.08899697195792017,0.08325246945524921,0.07622839852796431,0.07009620555098423,0.06353839902575714,0.05209753526681134,0.04772918305509796,0.04271883036823993,0.03814997665058417,0.03338840285025641,0.20667933939226615
12,0.12039662152528763,0.9755816459655762,0.0977938324213028,0.11074866054982989,0.08266580850842133,0.3,0.09001549117272385,-0.03403666243049737,0.1167024709389187,0.3,0.12621888032756,0.12621888032756,0.12198182032641619,0.1167024709389187,0.1125745158442417,0.10703440086639006,0.09001549117272385,0.08667128660774835,0.08266580850842133,0.07922871734806253,0.0748133566773467,0.22231001372353318
13,0.14019042253494263,0.9673948287963867,0.11628503352403641,0.10844967061637462,0.08557358232056093,0.3,0.0912924862758798,-0.028091340881691657,0.11366492320225259,0.3,0.12029900441828238,0.12029900441828238,0.11788503670829527,0.11366492320225259,0.11064761712176557,0.10687818630274774,0.0912924862758798,0.08901650762369048,0.08557358232056093,0.08283909464933444,0.07939680421705707,0.17119768985030576
14,0.15330995619297028,0.9487059116363525,0.11859138309955597,0.12590274542222132,0.09563176899136677,0.3,0.10526983280517292,-0.03560728677411493,0.1312390557654817,0.3,0.1406635624679012,0.1406635624679012,0.1375204916701172,0.1312390557654817,0.1268433563802714,0.12208962567841271,0.10526983280517292,0.1020718005601703,0.09563176899136677,0.09124637358527661,0.08653758338407493,0.2980198462350824
15,0.16312871873378754,0.9402027726173401,0.12290675193071365,0.12138804160612184,0.09199260539443559,0.3,0.10161411348575176,-0.035298202574965895,0.12729080796940148,0.3,0.13672561186845397,0.13672561186845397,0.13338683657958283,0.12729080796940148,0.12265401367887542,0.11715688059252677,0.10161411348575176,0.09806753735428084,0.09199260539443559,0.08738853766279654,0.08196044822019034,0.2664178023610897
