epoch,center_heatmap_loss,dbl_head_loss,dice_coefficient,loss,probs_dice_coefficient,probs_loss,probs_safe_binary_iou,safe_binary_iou,size_head_loss,val_center_recall_at_1,val_center_recall_at_10,val_center_recall_at_3,val_center_recall_at_5,val_dice_coefficient,val_size_seed_acc,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_hard_brainmask,val_whole_dice_hard_brainmask_best_thr,val_whole_dice_hard_brainmask_best_thr_score,val_whole_dice_hard_brainmask_delta,val_whole_dice_hard_brainmask_thr_0p30,val_whole_dice_hard_brainmask_thr_0p40,val_whole_dice_hard_brainmask_thr_0p50,val_whole_dice_hard_brainmask_thr_0p60,val_whole_dice_hard_brainmask_thr_0p70,val_whole_dice_hard_postproc_delta,val_whole_dice_hard_raw,val_whole_dice_hard_raw_best_thr,val_whole_dice_hard_raw_best_thr_score,val_whole_dice_hard_raw_thr_0p30,val_whole_dice_hard_raw_thr_0p40,val_whole_dice_hard_raw_thr_0p50,val_whole_dice_hard_raw_thr_0p60,val_whole_dice_hard_raw_thr_0p70,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.16504479944705963,0.2325139194726944,0.0007480417261831462,1.2742247581481934,0.0007480417261831462,1.091793179512024,0.03575630113482475,0.03575630113482475,0.1807469129562378,0.0,0.0,0.0,0.0,0.0009497993133041188,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.001490470967428613
1,0.0327511765062809,0.16204415261745453,0.0005465890862978995,1.1725034713745117,0.0005465890862978995,1.0894458293914795,0.04349999874830246,0.04349999874830246,0.1262321174144745,0.0,0.0,0.0,0.0,0.0010755460650891148,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0016763617743933857
2,0.0192802082747221,0.12056650966405869,0.0008011231548152864,1.1489439010620117,0.0008011231548152864,1.107283353805542,0.03849999979138374,0.03849999979138374,0.09066519141197205,0.0,0.0,0.0,0.0,0.0011148381908841307,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.001769025656022116
3,0.012883039191365242,0.11007173359394073,0.0010059006744995713,1.1301167011260986,0.0010059006744995713,1.1055785417556763,0.04125000163912773,0.04125000163912773,0.06931251287460327,0.0,0.0,0.0,0.0,0.0008955285633265275,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.001354233073530062
4,0.011801921762526035,0.10117629915475845,0.001245949068106711,1.105556845664978,0.001245949068106711,1.0878671407699585,0.03750000149011612,0.03750000149011612,0.058798857033252716,0.0,0.0,0.0,0.0,0.0013880858933363043,0.5454545454545454,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.002171886870035492
5,0.013511997647583485,0.10341299325227737,0.0023118313401937485,1.107136607170105,0.0023118313401937485,1.0919880867004395,0.04024999961256981,0.04024999961256981,0.05697377771139145,0.0,0.0,0.0,0.0,0.002268726518098278,0.5568181818181818,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0035163951046072854
6,0.011004910804331303,0.11073417216539383,0.0022942943032830954,1.1088144779205322,0.0022942943032830954,1.0946245193481445,0.03999999910593033,0.03999999910593033,0.0635872483253479,0.0,0.0,0.0,0.0,0.003930441500945171,0.5568181818181818,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.006322749155676062
7,0.010359223932027817,0.10301638394594193,0.002664450090378523,1.1075602769851685,0.002664450090378523,1.0948975086212158,0.03824999928474426,0.03824999928474426,0.05738529935479164,0.0,0.0,0.0,0.0,0.004200175114874191,0.5568181818181818,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0067118914724182965
8,0.010018665343523026,0.11240258812904358,0.0032378726173192263,1.1303859949111938,0.0032378726173192263,1.1181694269180298,0.03824999928474426,0.03824999928474426,0.058040801435709,0.0,0.0,0.0,0.0,0.00541071865933898,0.5568181818181818,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.008801384248482612
9,0.010519986972212791,0.11675609648227692,0.0045166900381445885,1.1404064893722534,0.0045166900381445885,1.1284483671188354,0.03750000521540642,0.03750000521540642,0.05964132770895958,0.0,0.0,0.0,0.0,0.007000163501072793,0.5568181818181818,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.011420382022354346
10,0.010795955546200275,0.11128463596105576,0.004930327646434307,1.1284327507019043,0.004930327646434307,1.1170326471328735,0.029249999672174454,0.029249999672174454,0.05861540511250496,0.0,0.0,0.0,0.0,0.008188353031627698,0.5568181818181818,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,0.3,8.20536345900904e-10,0.0,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0,8.20536345900904e-10,0.3,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.013345112892370732
