epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_hard_brainmask,val_whole_dice_hard_brainmask_best_thr,val_whole_dice_hard_brainmask_best_thr_score,val_whole_dice_hard_brainmask_delta,val_whole_dice_hard_brainmask_thr_0p30,val_whole_dice_hard_brainmask_thr_0p40,val_whole_dice_hard_brainmask_thr_0p50,val_whole_dice_hard_brainmask_thr_0p60,val_whole_dice_hard_brainmask_thr_0p70,val_whole_dice_hard_postproc_delta,val_whole_dice_hard_raw,val_whole_dice_hard_raw_best_thr,val_whole_dice_hard_raw_best_thr_score,val_whole_dice_hard_raw_thr_0p30,val_whole_dice_hard_raw_thr_0p40,val_whole_dice_hard_raw_thr_0p50,val_whole_dice_hard_raw_thr_0p60,val_whole_dice_hard_raw_thr_0p70,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.00012147265806561336,1.258878231048584,0.5130208134651184,0.00011706772767839882,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.00013966595538646097
1,3.1209721782943234e-05,1.1588109731674194,0.53125,4.054093364579793e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,4.4277789749965656e-05
2,1.8422011635266244e-05,1.1254405975341797,0.51171875,2.827897110408785e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,3.0305833701536916e-05
3,1.6144842447829433e-05,1.1223934888839722,0.5104166865348816,2.3840718204366647e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,2.533636086484352e-05
4,1.2591863196576014e-05,1.1290174722671509,0.5026041865348816,2.1028763360131094e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,2.2208011831592317e-05
5,1.1295506737951655e-05,1.1190356016159058,0.48828125,1.8573340212988345e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,1.951204591536225e-05
6,1.0994027434207965e-05,1.120227336883545,0.48828125,1.6948852455234695e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,1.7739794447055664e-05
7,9.277136996388435e-06,1.1151316165924072,0.4791666567325592,1.5559601587904822e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,1.6234874778713538e-05
8,7.6255073508946225e-06,1.1088907718658447,0.5481770634651184,1.3694158105018296e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,1.4225321586374362e-05
9,7.109628768375842e-06,1.1093591451644897,0.53125,1.2285364757324483e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,1.2719203822936727e-05
