epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
0,0.9651525020599365,0.027418730780482292,0.009226384572684765,0.6982470154762268,1e-04,0.8512277603149414,0.028083352372050285,0.00988858938217163,0.7041671872138977
1,0.9822936654090881,0.09021129459142685,0.01251962874084711,0.6935560703277588,1e-04,0.9480441808700562,0.049527160823345184,0.01377036515623331,0.69427490234375
2,0.9800856113433838,0.16229912638664246,0.0196857713162899,0.6887965202331543,1e-04,0.968253493309021,0.14973574876785278,0.028996869921684265,0.6857931613922119
3,0.9839025735855103,0.2069917470216751,0.02660677209496498,0.6837847828865051,1e-04,0.9729514718055725,0.1594168096780777,0.03662383556365967,0.6819490790367126
4,0.9876500368118286,0.23417286574840546,0.03309296816587448,0.6789668202400208,1e-04,0.9889522790908813,0.25501540303230286,0.04396319389343262,0.6728096008300781
5,0.987689733505249,0.24339652061462402,0.039831798523664474,0.674489438533783,1e-04,0.9933914542198181,0.34621453285217285,0.051424745470285416,0.6661577820777893
6,0.9900785684585571,0.272942453622818,0.04795536398887634,0.6687447428703308,1e-04,0.950494647026062,0.11691617220640182,0.051463231444358826,0.6850253939628601
7,0.9909107685089111,0.28203335404396057,0.05691346526145935,0.6625827550888062,1e-04,0.9877931475639343,0.27100852131843567,0.07442323863506317,0.653741717338562
8,0.9919581413269043,0.2949008047580719,0.06626036763191223,0.6560941338539124,1e-04,0.9897656440734863,0.3194386661052704,0.07809174060821533,0.6507605910301208
9,0.9931789040565491,0.30087903141975403,0.07744136452674866,0.648019552230835,1e-04,0.9940798878669739,0.3997288644313812,0.10097648948431015,0.6323168277740479
10,0.9940600395202637,0.3460741937160492,0.0945175290107727,0.6362535953521729,1e-04,0.9885486960411072,0.2805544137954712,0.11144868284463882,0.6285254955291748
11,0.9945548176765442,0.3485885560512543,0.1091943308711052,0.6259697675704956,1e-04,0.9960342645645142,0.495658814907074,0.14225509762763977,0.602576732635498
12,0.9949737191200256,0.36644694209098816,0.13134168088436127,0.6105720400810242,1e-04,0.9787160158157349,0.21647153794765472,0.09529683738946915,0.6411028504371643
13,0.9949259161949158,0.36323103308677673,0.1443403661251068,0.6015294790267944,1e-04,0.9943719506263733,0.4274757206439972,0.18518221378326416,0.5744900703430176
14,0.9960098266601562,0.4068891108036041,0.17493638396263123,0.5798039436340332,1e-04,0.9946537613868713,0.45368048548698425,0.20833063125610352,0.5587903261184692
15,0.9965619444847107,0.441658616065979,0.20445029437541962,0.5590759515762329,1e-04,0.9962022304534912,0.501648485660553,0.24331992864608765,0.5326492786407471
16,0.9969571828842163,0.4587166905403137,0.22987397015094757,0.541102409362793,1e-04,0.9962162375450134,0.49197983741760254,0.26236191391944885,0.519530713558197
17,0.9972866177558899,0.45810750126838684,0.24984988570213318,0.5269535779953003,1e-04,0.9965524673461914,0.5215184092521667,0.29525092244148254,0.49619194865226746
18,0.9974461793899536,0.48226743936538696,0.28386390209198,0.50319504737854,1e-04,0.9974223971366882,0.586315929889679,0.32895004749298096,0.47183772921562195
19,0.9976674914360046,0.5124707221984863,0.3218025863170624,0.4764758348464966,1e-04,0.9974736571311951,0.5682821273803711,0.35523033142089844,0.453433096408844
20,0.997747540473938,0.5189403891563416,0.34884536266326904,0.4575490951538086,1e-04,0.9960622191429138,0.5272326469421387,0.37610799074172974,0.4423251450061798
21,0.9978909492492676,0.5284273624420166,0.37199667096138,0.4412981867790222,1e-04,0.9978334903717041,0.6053978800773621,0.41823533177375793,0.40894171595573425
22,0.998099684715271,0.5544245839118958,0.4071216881275177,0.41649529337882996,1e-04,0.9977602362632751,0.6115890741348267,0.4461157023906708,0.38978949189186096
23,0.9981734156608582,0.5606541037559509,0.43050092458724976,0.40007734298706055,1e-04,0.9974077343940735,0.5999719500541687,0.48156145215034485,0.36607882380485535
24,0.9981981515884399,0.5611916184425354,0.4501318037509918,0.3863353729248047,1e-04,0.9972578287124634,0.5828506946563721,0.49065834283828735,0.3599514365196228
25,0.9982612133026123,0.5987222194671631,0.48751944303512573,0.3601401150226593,1e-04,0.9977834820747375,0.5253800749778748,0.43101972341537476,0.3997724950313568
26,0.9983208775520325,0.5961865186691284,0.49892279505729675,0.3520670533180237,1e-04,0.9974870085716248,0.6191262006759644,0.5342159867286682,0.32915976643562317
