epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
0,0.9091610908508301,0.012644350528717041,0.00905087310820818,0.6105534434318542,1.6e-05,0.5767404437065125,0.007889014668762684,0.00640901317819953,0.6978568434715271
1,0.9887443780899048,0.04355717822909355,0.011393011547625065,0.5624152421951294,1.6e-05,0.6028928756713867,0.008573774248361588,0.006718157324939966,0.6948845982551575
2,0.9939004778862,0.1334102749824524,0.022081909701228142,0.5377335548400879,3.2e-05,0.67283034324646,0.009156554006040096,0.008168946020305157,0.6964635848999023
3,0.9947381615638733,0.19294333457946777,0.03416241332888603,0.519730269908905,4.8e-05,0.9231939315795898,0.08968416601419449,0.02567044459283352,0.617513120174408
4,0.9949616193771362,0.21249771118164062,0.042958587408065796,0.5074853301048279,6.4e-05,0.9752991795539856,0.13816657662391663,0.037256427109241486,0.5325078964233398
5,0.9953510761260986,0.23920097947120667,0.05298984795808792,0.49630025029182434,8e-05,0.9622400403022766,0.1650339812040329,0.04895353689789772,0.5527856349945068
6,0.9954515099525452,0.257807195186615,0.06270507723093033,0.48700159788131714,7.993485e-05,0.9327558875083923,0.15389572083950043,0.050177160650491714,0.6089950203895569
7,0.9955870509147644,0.27533018589019775,0.07435238361358643,0.47757813334465027,7.97396e-05,0.9817155003547668,0.19844938814640045,0.06224098801612854,0.506066620349884
8,0.9959120750427246,0.2992253303527832,0.08692190796136856,0.4681375026702881,7.941489e-05,0.9860684871673584,0.22976867854595184,0.0723695456981659,0.49232351779937744
9,0.9961404800415039,0.31101036071777344,0.10034103691577911,0.4588947594165802,7.896178e-05,0.9901922941207886,0.24786512553691864,0.0749494656920433,0.4823305606842041
